"field" "id" "period" "subtype" "type"
"386" "SMC-SC4" 189810 2.99289 "B1" "B"
"387" "SMC-SC4" 198715 1.52427 "B1" "B"
"388" "SMC-SC4" 193064 1.28378 "B2" "B"
"389" "SMC-SC4" 179076 1.63616 "B1" "B"
"390" "SMC-SC4" 167473 1.11185 "B2" "B"
"391" "SMC-SC4" 167344 1.95433 "B1" "B"
"392" "SMC-SC4" 175282 1.73505 "B1" "B"
"393" "SMC-SC4" 147628 1.72703 "B2" "B"
"394" "SMC-SC4" 192867 3.69281 "B1" "B"
"395" "SMC-SC4" 160098 5.78031 "C1" "C"
"396" "SMC-SC4" 175192 6.44702 "B1" "B"
"397" "SMC-SC4" 153169 3.14325 "B1" "B"
"398" "SMC-SC4" 186512 1.31338 "B2" "B"
"399" "SMC-SC4" 149926 1.83831 "B1" "B"
"400" "SMC-SC4" 182649 2.38587 "B1" "B"
"401" "SMC-SC4" 192883 1.85523 "B2" "B"
"402" "SMC-SC4" 171550 1.16562 "B2" "B"
"403" "SMC-SC4" 160046 1.81713 "B1" "B"
"404" "SMC-SC4" 149910 2.02202 "B1" "B"
"405" "SMC-SC4" 156285 1.76957 "B2" "B"
"406" "SMC-SC5" 11508 1.76963 "B2" "B"
"407" "SMC-SC4" 149900 1.70213 "B2" "B"
"408" "SMC-SC5" 3339 1.70218 "B3" "B"
"409" "SMC-SC4" 175324 1.59749 "B2" "B"
"410" "SMC-SC4" 149963 1.77044 "B2" "B"
"411" "SMC-SC5" 7187 1.77047 "B2" "B"
"412" "SMC-SC4" 167178 30.0756 "B1" "B"
"413" "SMC-SC5" 26510 29.7818 "C1" "C"
"414" "SMC-SC4" 163579 1.71607 "B1" "B"
"415" "SMC-SC5" 21147 1.71604 "B1" "B"
"416" "SMC-SC5" 54826 2.47945 "B1" "B"
"417" "SMC-SC4" 186421 2.47951 "B1" "B"
"418" "SMC-SC5" 43773 2.0044 "B1" "B"
"419" "SMC-SC4" 179047 2.00436 "B2" "B"
"420" "SMC-SC4" 171280 5.10662 "B1" "B"
"421" "SMC-SC5" 32404 5.1067 "B1" "B"
"422" "SMC-SC5" 94 1.60256 "B2" "B"
"423" "SMC-SC5" 26530 10.3096 "C1" "C"
"424" "SMC-SC5" 74766 1.97345 "B2" "B"
"425" "SMC-SC4" 198645 1.97326 "B2" "B"
"426" "SMC-SC5" 21054 14.0664 "C1" "C"
"427" "SMC-SC4" 163514 14.0635 "C1" "C"
"428" "SMC-SC4" 150110 1.55757 "B2" "B"
"429" "SMC-SC5" 7164 1.5576 "B2" "B"
"430" "SMC-SC5" 54825 1.77116 "B3" "B"
"431" "SMC-SC4" 195793 1.59794 "B1" "B"
"432" "SMC-SC5" 74747 1.59798 "B2" "B"
"433" "SMC-SC4" 186420 1.77115 "B2" "B"
"434" "SMC-SC5" 43621 3.08923 "B2" "B"
"435" "SMC-SC5" 54776 3.69923 "B1" "B"
"436" "SMC-SC5" 3260 1.47482 "B2" "B"
"437" "SMC-SC5" 26580 1.7668 "B3" "B"
"438" "SMC-SC5" 33026 1.02572 "B2" "B"
"439" "SMC-SC5" 65495 5.11418 "C1" "C"
"440" "SMC-SC5" 26532 9.55275 "A2" "A"
"441" "SMC-SC5" 60745 1.51244 "B2" "B"
"442" "SMC-SC5" 21091 5.40458 "B1" "B"
"443" "SMC-SC5" 3212 2.99598 "B1" "B"
"444" "SMC-SC5" 32437 4.96567 "B1" "B"
"445" "SMC-SC5" 26551 3.34984 "B1" "B"
"446" "SMC-SC5" 136 1.41745 "B2" "B"
"447" "SMC-SC5" 32557 1.79499 "B2" "B"
"448" "SMC-SC5" 11492 1.90002 "B2" "B"
"449" "SMC-SC5" 49318 2.10571 "B2" "B"
"450" "SMC-SC5" 65537 2.74964 "B1" "B"
"451" "SMC-SC5" 21195 1.91675 "B2" "B"
"452" "SMC-SC5" 179 1.06129 "B2" "B"
"453" "SMC-SC5" 16329 2.11019 "B2" "B"
"454" "SMC-SC5" 7126 2.04231 "B1" "B"
"455" "SMC-SC5" 26536 13.2984 "C1" "C"
"456" "SMC-SC5" 21099 7.04867 "C1" "C"
"457" "SMC-SC5" 38093 4.96998 "B2" "B"
"458" "SMC-SC5" 21264 1.96262 "C1" "C"
"459" "SMC-SC5" 43763 1.20755 "B2" "B"
"460" "SMC-SC5" 60828 1.3599 "B2" "B"
"461" "SMC-SC5" 43522 10.0389 "C1" "C"
"462" "SMC-SC5" 49131 1.96172 "B3" "B"
"463" "SMC-SC5" 54806 1.86305 "B2" "B"
"464" "SMC-SC5" 95408 1.43037 "B2" "B"
"465" "SMC-SC5" 54959 1.50233 "B1" "B"
"466" "SMC-SC5" 82139 3.062 "B2" "B"
"467" "SMC-SC5" 54814 2.13681 "B2" "B"
"468" "SMC-SC5" 95272 4.09208 "B1" "B"
"469" "SMC-SC5" 100444 1.71809 "B2" "B"
"470" "SMC-SC5" 90508 6.56651 "C1" "C"
